Name,Symbol,TVL,Price (USD),Market Cap (USD),24h Volume (USD),Circulating Supply
Ethereum,ETH,95855383955.94095,1822.343482850402,219878498597.54077,16142917295.3951,120657000.54175286
Solana,SOL,13925742830.380922,125.27867829502807,64178940554.4976,3198495223.7724547,512289412.91476464
Bitcoin,BTC,8976019946.280697,82359.28274824284,1634396246665.4478,29468263614.269333,19844712.0
Binance,BNB,6937610488.037514,603.9013569748142,86038915077.80223,1552258853.9915264,142471802.86
Berachain,BERA,6432312794.361624,6.797825123510861,730630244.2749473,139233558.0885479,107480000.0
Tron,THN,5327012202.1816635,0.0010719420326246105,418863.828649988,40316.40847304,390752313.0
Base,BSX,3560181861.4682884,0.014238122419795036,2697806.8450405444,29359.63780881,189477711.0
Arbitrum,ARB,2725037567.7710524,0.3271196558910944,1510610221.4072156,118756775.36666548,4617913336.0
Sui,SUI,1669439005.9446762,2.2651920333193587,7180307748.417327,958677081.9772239,3169845047.4838877
Sonic,SONIC,1584471650.1196747,0.2367077224712371,0.0,30794153.9148981,0.0
Avalanche,AVAX,1389425847.081025,18.67590117891267,7748017563.652363,258557938.83229208,414867132.2163989
Aptos,APT,1382957763.449051,5.244359696103808,3168680677.9021235,121071671.93161671,604207350.6621279
Polygon,MATIC,811376767.1120676,,,1267062.58777204,0.0
Zircuit,ZRC,788316837.8460479,0.03845754849803534,57363231.1908188,19080403.82015765,1491598748.0
CORE,AICORE,722361463.8992252,0.15496159694218017,0.0,162.46669194,0.0
Hemi,DEMI,673065353.1111366,0.9578279836901998,0.0,0.0,0.0
Cronos,CRO,534074125.08344895,0.09823574249440929,2610276994.206823,37046570.97833031,26571560696.0
Optimism,OP,531956200.338668,0.7367632750149388,1194076546.934817,121496137.48667309,1620705846.0
TON,TRX,531796165.1401133,0.23945577436725476,22746247451.115025,508508992.6950715,94991434268.89748
Sei,SEI,458210893.24128175,0.1708961203559402,834376572.046618,67748382.41448362,4882361111.0
Bitlayer,ML,380612290.11368805,0.04643188314385789,2980862.3575181067,422656.48331825,64198610.0
BSquared,SQ3,365907710.7159324,0.0020470827591556086,0.0,180273.42248636,0.0
Hyperliquid,HYPE,359387672.20645964,12.942263436061486,4321786474.284558,74545896.39611533,333928180.0
AILayer,LYK,357367155.5113542,0.7058375876295725,0.0,2146545.09149127,0.0
Near,EARL,317060407.17832977,6.120258320649453e-05,0.0,1733.10109734,0.0
Cardano,ADA,315952153.85906756,0.6573699779602702,23184131991.89404,753676377.9819764,35268011575.20344
Mode,MODE,313720845.6745239,0.004268845314316119,10672113.324209906,2345164.9467557,2500000009.0
Mantle,MNT,312180675.41824627,0.7873715620517204,2649264672.0408926,114859916.54977253,3364694382.8368406
xDai,XAI,294621645.3722677,0.05932027049926738,66113097.41009894,58019059.34102216,1114511057.580485
BOB,BOB,271491016.4463412,5.1063506612212e-06,3518927.4128757683,2462186.25050919,689127646403.0
Taiko,TAIKO,242638248.34560558,0.6382576477588415,65696777.92422177,16138234.8156587,102931438.66729593
dYdX,DYDX,222554683.34533355,0.6291677079412309,480957255.8320504,17445439.56611417,764434108.3649123
Linea,LINA,215972124.02158841,0.00032227214049808357,3221640.588334994,16182861.52171831,9996646261.001118
EOS,EOS,207367953.1763975,0.6157032951125432,958029239.4228625,281172213.6379393,1555991736.6493
Kava,KAVA,183736084.9064164,0.4288600003418186,464392541.2297794,19420764.24122219,1082853474.0
Thorchain,RUNE,182161038.79637152,1.1360927587788325,399554694.75719863,137207910.8474929,351691965.0
RSK,RBTC,181647307.68242496,1.4319602451430278e-06,10650204.32325127,536290.54725887,7437500000000.0
Filecoin,FIL,174686037.98687693,2.761359023218651,1785992965.376303,109039054.1167464,646780426.0
Hedera,HBAR,158220008.49147207,0.16268904947459328,6868735885.807592,261975954.24212068,42220025920.553825
Blast,BLAST,150539369.06556606,0.0030195224470635908,81766636.49213912,8504435.46201352,27079327253.10756
Merlin,PERL,142696226.5291249,0.00034901087223062526,171343.01649303068,663.42408857,490938908.0
Stacks,STX,136289320.89900163,0.6054752142861428,919976026.8512573,30728403.56431394,1519428054.43475
Algorand,ALGO,133619402.63384283,0.17864368777554693,1525082861.501516,73198268.93702458,8537009510.33699
exSat,XLT,132483729.98408623,0.00686028610111164,0.0,0.0,0.0
Pulse,PLS,130346292.61667109,2.0708806673170897e-05,0.0,4803.6173303,0.0
Mixin,XIN,116044067.35103893,104.4850271936893,0.0,6140.68817394,0.0
Starknet,STRK,107872311.74133992,0.14813748286009415,406416053.6438405,26579557.9699141,2743505868.988425
Fraxtal,FRAX,106329832.71256016,0.998781065459617,348231606.91313773,14839763.99465637,348656596.4813212
Elrond,ROND,101717090.66405748,0.0010013438184573575,443701.3909367053,46647.20528179,443105937.0
Soneium,EURe,97271388.56320815,1.0824040847301533,0.0,85122.44487471,0.0
